scientific_name,description,plant_care
dypsis lutescens,"The Areca Palm is an easy to care for indoor plant and also a fast-growing outdoor plant for warm climates. It's long, feathery fronds arch upward from multiple reed-like stems, with 40-60 leaflets for each frond. The resemblance of the fronds to butterfly wings give the plant its nickname, the ""Butterfly Palm"".
It is considered an excellent ""clean air"" plant that effectively rids the air of harmful pollutants. An immature houseplant can be a small desk plant. As a mature plant, the Areca Palm develops into a medium-sized plant that can reach a height of 6-8 feet. 
Originiating from Madagascar, it now grows in tropical and sub-tropica regions, such as Jamaica, Puerto Rico, the Dominican Republic, Cuba, and Hawaii.
The Areca palm grows at the ends of the stems. When pruning, if you cut off the tip of the stem, the entire frond may die, so care must be taken when pruning back the palm.
The Areca palm is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/areca-palm-how-to-grow-care-guide","Light: Requires bright, indirect light. Too much light or direct sun will burn the fronds and causes them to turn yellow.
Water: Keep the soil barely moist and never soggy. Allo the top few inches to dry out before watering. Never allow the plant to sit in water. May develop yellow leaves if the soil gets too dry.
Fertilizer: Feed monthly when actively growing with a balanced liquid fertilizer diluted to 1/2 strength. Too much fertilizer will damage the leaves.
Temperature: 65F°-75F°, 18.3°C-23.9° during the day and around 55°F, 12.8°C at night
Humidity: High humidity is essential.
Soil: Use a rich, acidic, well-draining soil. Add some builder's sand to the potting mix if the soil turns heavy or clay-like.
Pot: Likes to be a little root-bound. Re-pot to the next size and not larger, when the roots have filled the container.
Pruning: Do not cut off any brown tips as doing so slows down growth.
Propagation: Propagate by separating the offsets or suckers at the base of a mature plant or by plant division.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplant411.com/houseplant/areca-palm-how-to-grow-care-guide"
syngonium podophyllum,"The Arrowhead Plant is an easy care houseplant originating from the rain forests of Central and South America.
In nature, it is a woody, vining plant that can grow 30-40 ft (9-12 meters) long. 
It is poisonous and should be kept away from reach of small children and pets; ingestion causes swelling of the lips, mouth, tongue, and airways.

Source:
https://www.houseplant411.com/houseplant/arrowhead-plant-how-to-grow-care-guide","Light: Solid green leaf varieties: low-medium light; White, pink, burgundy, and lime green in the leaves: require medium-bright, indirect light.
Water: Allow the top 50% of soil to dry out and then water well.
Fertilizer: Spring-Summer: Feed every two weeks with balanced plant food diluted to 1/2 strength. Fall-Winter: Feed monthly.
Temperature: 60°-70°F, 15.5°-21.1°C
Humidity: Grows well in average household humidity (40%) and high humidity.
Soil: Use a rich, quick-draining, organic mix, such as the African Violet potting soil.
Pot: Wait until the roots have filled the current pot before moving it to the next size container and not larger. Make sure the pot has drip holes. Never let it sit in excess water.
Pruning: Aggressively prune the stem tips and long vines to keep the Arrowhead full and bushy. Wear protective clothing (long sleeves, gloves) because the plant is very poisonous.
Propagation: Propagate by stem cuttings and plant division.
Poisonous Plant Info: Very poisonous. All parts of the plant contain calcium oxalates; ingestion causes swelling of the lips, mouth, tongue, and airways, making breathing difficult. Keep out of reach of small children and pets.

Source:
https://www.houseplant411.com/houseplant/arrowhead-plant-how-to-grow-care-guide"
asparagus aethiopicus,"The Asparagus Fern is actually a member of the Lily family and is not a true fern. It is named the Asparagus fern because of the similarity in appearance of its new shoots to tiny asparagus spears.
The Asparagus Fern is easier to grow than ""true"" ferns and is the perfect plan to hang outside in a bright spot, during summer months. Too much sun and very high tempeartures, however, may cause yellow foliage, leaf loss, or brown edges on the leaflets.
It originates from South Africa and is now prevaluent in sub-tropical areas in many countries.
The Asparagus Fern is toxic and its red berries, which can be very attractive to children, can cause digestive distress if ingested. Keep out of reach of small children and pets.

Source:
https://www.houseplant411.com/houseplant/asparagus-fern-how-to-grow-and-care-for","Light: Bright, indirect light.
Water: Allow the top 50% of the soilt o dry out, then water.
Fertilizer: Summer: feed weekly with water-soluble, balanced plant food. Feed monthly during the rest of the year.
Temperature: 50°-75°F, 10°-24°C
Humidity: Low to normal humidity.
Soil: Use a well-aerated, quick-draining potting soil. Add some sand, perlite, or peat moss if the soil seems heavy or clay-like.
Pot: Keep root-bound in a small pot.
Pruning: Remove damaged or yellow leaves and stems as claose to the soil surface as possible.
Propagation: Propagate by plant division.
Poisonous Plant Info: Toxic to pets and children. The attractive, red berries can cause digestive problems when ingested.

Source:
https://www.houseplant411.com/houseplant/asparagus-fern-how-to-grow-and-care-for"
rhododendron,"The Azalea plants have delicate, funnel shaped, lipped flowers in various colors and even bi-color. The are a popular houseplant with terminal blooms, meaning the entire plant flowers at one time. Indoor Azaleas and outdoor Azaleas are different and indoor ones do not do well planted outdoors.
The Azalea is a descendent of Asian shurbs, part of an ancient group of plants, millions of years old. It is the national flower of Nepal.
These plants are considered poisonous and should be kept away from the reach of children and pets.

Source:
https://www.houseplant411.com/houseplant/azalea-plant-how-to-grow-care-guide","Light: Bright, indirect light and no direct sun, while blooming. Without enough light, the flower buds won't open.
Water: Allow the top 2""-3"" of soil to dry before watering. Likes acidic water; if your water is alkaline, add one tablespoon of vinegar to each gallon of water. Can use leftover tea to water Azaleas.
Fertilizer: Feed monthly with an acidic fertilizer diluted to 1/3 strength.
Temperature: 50°-60°F, 10°-15.6°C, at night and 60°-70°F, 15.6°-21.1°C during the day
Humidity: Does well in normal to high humidity. Average humidity is about 40%.
Soil: Use a rich, acidic, well-draining planting mixture.
Pot: Can be found in 4"", 6"", and 8"".
Pruning: Remove dead flowers as soon as they appear. Remove dead and bare branches.
Propagation: Propagate by stem cuttings, and grafts.
Poisonous Plant Info: All parts are poisonous, containing grayanotoxin, which is very toxic. Keep away from children and pets.

Source:
https://www.houseplant411.com/houseplant/azalea-plant-how-to-grow-care-guide"
helxine soleirolii,"The Baby's Tears plant  is a very delicate looking houseplant with tiny, green leaves on fragile looking stems. Baby's Tears only gorws to about 2″-5″ tall, but it can spread to over 6' wide, often considered invasive ground cover. As an indoor houseplant, it requires attention and is not very forgiving. Care must be taken in low light settings to barely moisten the soil, feeding heavily in spring and summer, and using a loose, quick-draining soil. 
The plant originates from Italy, Corsica, Sardinia, and throughout the northern Mediterranean area.
It is on-toxic.

Source: 
https://www.houseplant411.com/houseplant/babys-tears-plant-how-to-grow-care-guide","Light: Bright, indirect light. No direct sun.
Water: Keep soil moist, but never soggy, else the roots and stems die.
Fertilizer: Spring-Summer: Feed every two weeks while actively growing with a balanced fertilizer diluted to 1/2 strength.
Temperature: 60°-75°F, 15.6°-23.9°C
Humidity: High humidity and good air circulation.
Soil: Use a quick-draining, well-aerated potting soil that contains a good amount of peat moss.
Pot: Usually found in 4"" or 6"" pots.
Pruning: Trim a Baby's Tears plant to keep its shape and fullness.
Propagation: Propagate by plant division and stem cuttings.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplant411.com/houseplant/babys-tears-plant-how-to-grow-care-guide"
chamaedorea seifrizii,"The Bamboo Palm is a popular, compact, easy to care for, tropical looking plant that grows well in medium light and can grow well in lower light. The Bamboo Palm plant is actually not related to the real bamboo, which is a type of grass requiring very bright light. The Bamboo Palm has reed-like stems that resemble the real bamboo, with about 10-15 fronds on each stem. Each frond has 10-14 pinnate (feathery), dark-green leaflets. It can grow to a height of 5'-7' and a width of 3-5'.
The Bamboo Palm is native to the tropical and subtropical parts of Mexico and Central America and are relatively small, compared to other palms growing in the forest, reaching a height of only about 5ft-20ft (1.5m-6m). 
It is a slightly poisonous plant and should be kept away from small children.

Source:
https://www.houseplant411.com/houseplant/bamboo-palm-how-to-grow-care-guide","Light: Bright, indirect light is best. Does well in medium light. Grows very slowly in low light, without over-watering.
Water: Allow the top 1/3 of the soil of a bamboo palm to dry out, then water. Likes barely moist, never soggy soil. Do not let the plant sit in excess water.
Fertilizer: Spring-Summer: feed monthly with a high nitrogen fertilizer diluted to 1/2 strength. Do not fertilize when not actively growing of if the soil is very dry.
Temperature: 65°-80°F, 18.3°-26.7°C
Humidity: Likes high humidity; can still do well in average humidity.
Soil: Use a quick-draining, well-aerated potting soil that still retains moisture.
Pot: Re-pot when the roots have filled the current pot, using the next size pot and not larger.
Pruning: Cut brown leaf tips with wet scissors; remove bare stalks. Clean scissors after using to prevent diseases spreading from plant to plant.
Propagation: Propagate from seeds. This takes 2-5 years for a bamboo plant to reach a decent size.
Poisonous Plant Info: A bamboo palm is a slightly poisonous plant and should be kept away from small children.


Source:
https://www.houseplant411.com/houseplant/bamboo-palm-how-to-grow-care-guide"
gebera jamesonii,"The Barberton daisy is the common name for the Gebera Jamesonii, a popular flowering pot plant. There are many varieties and hybrids of the Barberton Daisy, in a wide range of flower colors. The basic type has stalks that can grow up to 2' tall.
The Barberton daisy is native to South Africa this species is grown as perennial in warmer climates and an annual in cooler climates.
It is non-toxic for cats, dogs and horses.

Source: 
https://www.houseplantsexpert.com/barberton-daisy.html","Light: Direct sunlight. Place at a south-, east- or west-facing window.
Water: Keep the soil moist all times. Once the soil is slightly dry to the touch, water the plant.
Fertilizer: While flowering, feed every two weeks with a balanced liquid fertilizer.
Temperature: 55°-75°F, 13°-24°C
Humidity: Average to above average.
Soil: Use a peat-based potting mix: 2 parts peat and 1 part perlite.
Pot: Re-pot every two years in the spring, if the plant has outgrown the current pot.
Pruning: When a flower wilts, cut back the stem to the leaves.
Propagation: Propagate with seeds.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplantsexpert.com/barberton-daisy.html"
hymenocallis littoralis,"The Beach Spider Lily, Hymenocallis littoralis, are so named because the flowers lok like spiders. With proper care, including plenty of water and sunlight and a unique soil blend, the stems can grow to almost 2' tall, adding another foot in length when it fully blooms. The flowers give off a strong vanilla scent.
The Beach Spider Lily requires a large pot, a half-gallon or larger, the first year of life, needing re-potting to larger pots as it matures.
It originates from South Mexico and Central America.
The Beach Spider Lily is non-toxic.

Source:
https://www.houseplantsexpert.com/beach-spider-lily.html","Light: Partial shade to full sun.
Water: Soil should be kept moist, but never soggy. Do not allow plant to stand in excess water.
Fertilizer: Feed every two weeks with a diluted, balanced fertilizer.
Temperature: Protect from frost. Capable of withstanding temperatures that drop into the 40ºF, 4°C range, and as high as 90º, 32ºC
Humidity: Average humidity. If the air is dry, mist the plant.
Soil: Use 1 part standard potting mix and 1 part bark or pumice. The pH of the soil needs to be between 5.0 - 7.5. 
Pot: Re-pot every two years, while not flowering, to a larger pot and mix in new soil to fill the gaps.
Pruning: De-head wilted flowers regularly.
Propagation: Propagate by seed or dividing rhizomes.
Poisonous Plant Info: Non-toxic

Source:
https://www.houseplantsexpert.com/beach-spider-lily.html"
begonia coccinea,"The Begonia plant is often considered an outdoor plant, but they make excellent indoor houseplants that can bloom throughout the year.
Begonia plants originate from the tropical, moist regions of southern Asia, Africa, South America, and Central America, and require such high humidity to grow well. 
Each variety has different care requirements, but they all prefer warm temperatures, barely moist soil, and bright, indirect light with no direct sun.
The leaves of some begonia plants have extraordinarily colorful foliage while other varieties have broad green leaves and beautiful flowers. 
It is considered to be a slightly poisonous plant especially to dogs and cats. Keep out of reach of small children and pets.

Source: 
https://www.houseplant411.com/houseplant/begonia-plant-how-to-grow-care-guide","Light: Medium to bright, indirect light.
Water: Allow the top 50% of the soil to dry out, then water.
Fertilizer: Feed monthly with a high phosphorous fertilizer at 1/2 strength.
Temperature: 65°-75°F, 18.3°-23.9°C
Humidity: High humidity. If the air is dry, place the plant on a pebble tray with water, taking care that the plant is not sitting in the water.
Soil: Use a quick-draining, rich, well-aerated soil.
Pot: Use a clay or terra cotta pot to help the soil dry out and prevent root rot.
Pruning: Immediately remove dead leaves, stems, and flowers to help prevent mold and mildew.
Propagation: Propagate from stem tip or leaf cutings.
Poisonous Plant Info: Toxic. Keep out of reach of pets and small children.

Source: 
https://www.houseplant411.com/houseplant/begonia-plant-how-to-grow-care-guide"
begoniaceae,"The Begonia Rex plant is a colorful, perennial, flowering plant that originates from India. The hundreds of hybrid varieties of the Begonia rex sold throughout the world are popular for their large, colorful, patterned leaves that come in a variety of shapes, sizes, and textures.The dramatic color combinations on the leaves of a Begonia Rex set this plant apart from the usual green- leafed houseplant. 
It requires attention and care, which can be a little challenging for beginners.
The Begonia Rex plant is a slightly poisonous plant and toxic to small children, cats, dogs, and other small pets.

Source:
https://www.houseplant411.com/houseplant/begonia-rex-plant-how-to-grow-care-guide","Light: Bright, indirect light. No direct sun.
Water: Allow the top 30-50% of the soil to dry out, then water. Never over-water.
Fertilizer: Spring-Summer: Feed every two weeks as soon as new growth appears with a balanced plant food diluted to 1/4 strength. Feed less in fall. Do not feed during winter.
Temperature: Likes warmth. Do not go below 60°F, 15.6°C.
Humidity: Likes high humidity. However, do not mist the leaves as this can cause a powder mildew. Place on a pebble tray with water, taking care that the plant is not sitting in the water.
Soil: Use a quick-draining, well-aerated soil. 
Pot: Likes a large, shallow pot.
Pruning: Aggressively prune leggy stems.
Propagation: Propagate by stem and leaf cuttings.
Poisonous Plant Info: Mildly poisonous. Keep out of reach of small children and pets.

Source:
https://www.houseplant411.com/houseplant/begonia-rex-plant-how-to-grow-care-guide"
